Event Name,Start Date & Time,End Date & Time,Address,Phone,Email,Image
African American Cultural Expo & Children's Book Fair,"07/20/2024 - 10am, EDT","07/20/2024 - 4pm, EDT","3033 Waldorf Market Place Waldorf, MD 20603 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/381ba4fce3e3c62b5af8a61fdb746bac.png
MGM Casino Resort &  African American History Museum Bus Tour 2024,"07/31/2024 - 11:45am, EDT",,"230 Rodi Road Pittsburgh, PA 15235 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/bdde8f2552d4285b2fcce55c9ea3d168.png
2024 Minority Mental Health Event - Vendor Registration,"07/27/2024 - 8am, PDT","07/27/2024 - 2:30pm, PDT","304 North 6th Street San Jose, CA 95112 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/dff55fd92e32d850fc2b695eaac55825.png
Culture & Cocktails: Halfway African  American Cemetery,"11/08/2024 - 6, EST","11/08/2024 - 8pm, EST","135 West Washington Street Hagerstown, MD 21740 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/158caf4c3316a2b99316c7f2c308ee35.png
Conversations In Indiana African American History & Culture  7/18/2024,"07/18/2024 - 6, EDT","07/18/2024 - 7:30pm, EDT","1201 Central Avenue Indianapolis, IN 46202 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/4b77d4d3fbc66eb2e3ea4589f9f742be.png
S.E. Manly African American Film Festival On Tour Benefiting Tech Exchange,"07/13/2024 - 10am, PDT","07/13/2024 - 9pm, PDT","100 Washington Street Oakland, CA 94607 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/52f9562807c92523689b07fd857cad8f.png
Warm Up: UNIIQU3 | EASYFUN  | Klein | African-American Sound Recordings,"07/26/2024 - 4pm, EDT",,"22-25 Jackson Avenue Queens, NY 11101 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/d656143dec843848977a2bff66ce404b.png
Sundays: African American Firefighter Museum,"07/07/2024 - 1, PDT","07/07/2024 - 2pm, PDT","1401 South Central Avenue Los Angeles, CA 90021 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/c5d152e09ae219e919831caf8f721bd5.png
Fighting White Supremacy: The African American Experience,"08/03/2024 - 5:30, EDT","08/03/2024 - 7pm, EDT","Cloyd Heck Marvin Center 800 21st Street Northwest Washington, DC 20052 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/eecd3bd4057cb3a543aa851506fb5344.png
Lexington African American Sports Hall Of Fame Gala 2024,"09/21/2024 - 6, EDT","09/21/2024 - 9:30pm, EDT","430 West Vine Street Lexington, KY 40507 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/a1e44aaba4fd1247b3303de53f0ba789.png
Walking Tour: African American History along the Cincinnati Riverfront,"08/10/2024 - 10am, EDT","08/10/2024 - 12pm, EDT","2950 Gilbert Avenue Cincinnati, OH 45206 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/b00327aa131dbdebe1db5e611fee30c9.png
PHPG African American History Tour-Paducah,"08/09/2024 - 10:30am, CDT","08/09/2024 - 12:30pm, CDT","724 Oscar Cross Avenue Paducah, KY 42003 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/e8f6233112481ce95b60fce90579f21b.png
AFRICAN AMERICAN GOLF EXPO AND FORUM,"08/24/2024 - 12pm, EDT","08/27/2024 - 3pm, EDT","4000 RCA Boulevard Palm Beach Gardens, FL 33410 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/b03649885946a1fbe6b70b951f1d8758.png
Lift Every Voice: Ossabaw/Pin Point African-American History Tour,"08/10/2024 - 8am, EDT","08/10/2024 - 3:30pm, EDT","Main rd Ossabaw Island, GA 000000 United States",,robin@ossabawisland.org,https://storage.googleapis.com/boroom.appspot.com/events/7b0b9e42d17fb3107c18640f269efc04.png
Raleigh African-American History Walking Tour,"07/07/2024 - 4, EDT","07/07/2024 - 5pm, EDT","420 Fayetteville Street Raleigh, NC 27601 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/9b90ded2f3f5596711e0aa3eb7a02c77.png
AFRICAN AMERICAN GOLF EXPO AND FORUM 2024,"08/24/2024 - 9am, EDT","08/27/2024 - 2pm, EDT","4000 RCA Boulevard Palm Beach Gardens, FL 33410 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/f076e47794f82781dbc6f26cc72bafd6.png
National Museum of African American History and Culture - Bus  Trip,"07/25/2024 - 7am, EDT","07/25/2024 - 7pm, EDT","4521 South Laburnum Avenue Richmond, VA 23231 United States",804-625-0713,travelingwithdebllc@yahoo.com,https://storage.googleapis.com/boroom.appspot.com/events/ea328e615d7ce0862582814a88948bc4.png
Bus Ticket to African American History Museum,"08/23/2024 - 9am, EDT","08/23/2024 - 4pm, EDT","1400 Constitution Avenue Northwest Washington, DC 20560 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/3bfb1b80af62184c94f35eda65a38c3a.png
Official African American Festival Afterparty,"07/20/2024 - 8, EDT","07/20/2024 - 11:30pm, EDT","1447 North Summit Street Toledo, OH 43604 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/9af99dece2e1d629fa28d3ff00374e85.png
Speed Dating for African American Singles,"07/18/2024 - 7, EDT","07/18/2024 - 9pm, EDT","77 East 7th Street New York, NY 10003 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/1cd0801e73372c9a6f13b5f5170e2de8.png
Enter the Black Whole- Black Reality-History Class,"07/06/2024 - 1, CDT","07/06/2024 - 2pm, CDT","5309 Martin Luther King Junior Boulevard Houston, TX 77021 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/89af72a38c9129fc05e0df4e3a9daa30.png
African American History Tour - The Sit-In & Civil Rights,"07/06/2024 - 10am, CDT","07/06/2024 - 12pm, CDT","501 Broadway Nashville, TN 37203 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/b5d3314503733e1d198cbe9feefdcb46.png
"""The Best Of Broward County"" Summer Dance Showdown","07/13/2024 - 3, EDT","07/13/2024 - 6pm, EDT","2650 Sistrunk Boulevard Fort Lauderdale, FL 33311 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/b9080ace3020a086b3abcf27d3c08820.png
